Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,,,,,,,,,,,,,0.9416765277797279,0.9166201696121529,0.924935412578483,0.8971204705724327,0.8860358536806034,0.8607297917492729,0.8693538201801978,0.8287143521518712,0.9099207410314467,0.8793604939926611,0.7317139765118803,0.8160037439344376,0.8239075801403357,0.8734411136542897,0.891415788535522,0.8943422088684603,0.879327813812764,0.8913551030554712,0.9097257077063762,0.8951155756912161,0.8701869200013301,0.8767644221128569,0.8668683916315614,0.8775143367696696,0.8689253374071619,0.8706760355310503,0.8035383106304896,0.7950788504904631,0.8103653508444764,0.8562595768110817,0.7951829511236378
Norway,0.4730761829674228,0.5402778596647555,0.696929385068169,0.700169561166986,0.5976474968934122,0.4582223546831993,0.36984881525716246,0.4024043349348883,0.5226377710526293,0.5560161411080325,0.6078247921509595,0.6125538533002465,0.6682114824694434,0.6515672061943762,0.6999054951726712,0.7076919554142511,0.7142177553856032,0.6842698975541337,0.6770508124944805,0.6520419699848857,0.7130795127688547,0.6719344029132016,0.6505727741234215,0.6230206003671188,0.6031988082553768,0.6734284334827022,0.7267455026238596,0.752610169404879,0.736259310258941,0.7647433022198302,0.7097184861537108,0.6998768970578763,0.6309081117482304,0.6291474953121028,0.6320290612959506,0.62017869326343,0.5846624607592839,0.6027884948024786,0.6175481827437038,0.6204167436144378,0.586162537801769,0.6428783543773676,0.6871488823042468
Austria,,,,,,,,,0.6186292746350553,0.6522317834996649,0.6859175060287156,0.6652365300547474,0.761640956437694,0.7222867083439624,0.7498795869543557,0.6899591820543511,0.6734329068521422,0.6311446891287363,0.650685091252339,0.6110058374614311,0.7199432590146666,0.6922200090634827,0.6948334205199387,0.691673057947806,0.684715982945404,0.7198218833353728,0.764237656490268,0.7845555575044035,0.7516108866105498,0.7574894027574077,0.7167760000922294,0.6642441178856725,0.6032127451902703,0.6221915931089514,0.6071321786750197,0.6612847354037267,0.6445011322785059,0.6711384248279919,0.6713640330928973,0.6896984012914313,0.685450314993992,0.6950813225402201,0.6556686179954174
Israel,,,,,,,,,,,,,,,,,,,,,0.7422130213844367,0.7026522002091378,0.6898773540148821,0.7004988061770892,0.6914653627575018,0.7232819126819727,0.7710265918913393,0.7903330405761153,0.7682339652566845,0.7885697861758082,0.767295151123442,0.7277877071401071,0.6795212863790225,0.7051122282647412,0.6965215658020658,0.7456996811948812,0.7312412031938464,0.7488266452702357,0.7420949784145678,0.7533063064698163,0.7542070437287051,0.7617056458240231,0.7313436352646617
United Arab Emirates,,,,,,,,,,,,,,,,,,,,0.9141839746365124,0.9368715648199495,0.9201068651919753,0.9166602593169322,0.9109076734655421,0.9004088275418243,0.9097404514946252,0.917602063292186,0.9170239416852557,0.9100761700707207,0.879154072346878,0.8684388321966237,0.8620117881721019,0.8471436290835438,0.8589339140057228,0.8587177102430996,0.8429097028659448,0.822064859748206,0.8209278390244833,0.8270676926662939,0.8218541606478373,0.7978730909796863,0.8187934061021651,0.8234527591829262
Nigeria,,,,,,,,,,,0.8837867505108477,0.8461119233413472,0.9364297607731288,0.9013765232735441,0.9367159290054543,0.9392024400906073,0.9499147606768354,0.9383023817523555,0.95095817507085,0.8442366874772919,0.9433075452574542,0.9427127509520761,0.9535226227080682,0.960052440385319,0.962231423579395,0.9750104413416028,0.985010286358158,0.9817007611925896,0.9769765838374436,0.9778112245842631,0.9794893304084153,0.9626071798557604,0.9563626882552376,0.9581942207025733,0.9461953332136035,0.9579883533555713,0.9485294179715293,0.954798506033228,0.9505985064665685,0.9486639546953056,0.9501068225610623,0.9485169662260853,0.9231573885814115
Singapore,,,,,,,,,,,0.6050689960086509,0.5724777696105965,0.7036250034289344,0.6740314194340187,0.7133994840109541,0.6321640947681464,0.5986978856636387,0.5377124181482331,0.5463348129388854,0.48331405560105123,0.6708540683461608,0.5954692750810852,0.6037117199484792,0.5932792129603471,0.6202328388159151,0.6792729648518265,0.7452961298430283,0.7555129677760832,0.6854996238470136,0.713576353410714,0.6912377461111037,0.6049284331682232,0.5005886904019252,0.5259088217261911,0.49828937564300324,0.5497540303056792,0.5173731599833222,0.5383391647978993,0.5299110735646432,0.4955372408907268,0.4892742500299978,0.5437764801346228,0.45014039280459917
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,0.9287808825574393,0.9226114920410149,0.927102186185466,0.9321954750499182,0.9300863465958793,0.9136706285693947,0.9240043947727969,0.9206151722982143,0.9001564106168825,0.881708562521777,0.893888463916922,0.8848600017130611,0.903232861018167,0.897288525930872,0.8998375262491473,0.8937293945844405,0.8930951976883936,0.9022395418172162,0.902997320564432,0.873511392632758
Egypt,,,,,,,,,,,,,,,,,,,0.7550086204942996,0.696503458563792,0.844840721032158,0.8235276902696121,0.8159863425796949,0.8217259053261337,0.8116190572378469,0.8264301321306498,0.8521735340212784,0.858111318493226,0.8386417139850197,0.858300381861774,0.8566578462222746,0.8143991360144868,0.7913872461391303,0.7961530316090266,0.7724326351889073,0.8158729797952231,0.7780299125075231,0.7985108908639904,0.8038505858343372,0.8207410638371446,0.8416163152315492,0.836907013932749,0.7744304900988943
Vietnam,,,,,,,,,,,,,,,,,,,,,0.9282059148982569,0.9169034016076353,0.9095162090507686,0.9024705970597798,0.8908782459406762,0.8972927883917283,0.907166564775183,0.8965987969516869,0.888821215296169,0.8802389940778168,0.8511678008186447,0.8358924879642808,0.8053670778222679,0.8056004127857688,0.7902495121208482,0.8003522286474505,0.773578812153265,0.7791315047642402,0.7783060530067991,0.7890513884643933,0.7945852279875875,0.7915746086882658,0.7686591625228939
South Africa,,,,,,,,,,,,,,,,,,,,,0.8637606532490134,0.8463977376051521,0.8682105469625148,0.8627612611309146,0.8585879487607591,0.8728239309421908,0.8858369712839421,0.8994550976911279,0.89141959392895,0.9005668056736917,0.8794190264454793,0.8491875556287716,0.8109685412356988,0.8133809317458534,0.7998692820515718,0.8208519069701044,0.8088028197081878,0.8187979855288271,0.8084281965137341,0.8041659188142205,0.8069951134623259,0.8204711383231512,0.7673628191571771
Malaysia,,,,,,,,,,,0.7272112521289615,0.7050489683921243,0.7796215706564402,0.7639232683489623,0.7943595830272042,0.7507728427543541,0.7340124115409428,0.6956860616577916,0.696311542594803,0.6815757189844482,0.7744677521558878,0.7385714309407363,0.7360166617329487,0.7413278053689529,0.7365898613429438,0.774668510536718,0.8216113544005639,0.8444897392583917,0.8381749244363482,0.8217090985287223,0.7947167195607728,0.7501880966484012,0.6955413633706267,0.691873284827567,0.6857822162207228,0.7110512495299361,0.6983208227378535,0.7125703121644059,0.7095059171957478,0.7194300063322419,0.7043847388296056,0.7190752378674885,0.6979032023174334
Denmark,,,,,,,,,,,,,0.6790505063070363,0.6230500691319312,0.6822945170996672,0.6322922470155143,0.6216119118041432,0.5778055430432578,0.6222935901136022,0.5716272319605707,0.6803463192551403,0.6367010992324319,0.6406628298647777,0.6169280985676122,0.5870543880807012,0.6334207927742512,0.6976006436477499,0.7451904333091622,0.7335650806550467,0.735511341498579,0.677678352416681,0.6118781440013445,0.5402857644064399,0.5580286029427588,0.5576480388297503,0.6028564828443836,0.5912350336012702,0.6095138037412898,0.6133499719838731,0.6207024101083312,0.6248878846129545,0.6479394143153072,0.6613925992705626
Philippines,,,,,,,,,,,,,,0.8269066859975189,0.8703215336689876,0.812378973460675,0.7981103923077751,0.7319775287672916,0.7906024815592592,0.7499162292609103,0.8586649404806774,0.8539892032632729,0.852756672921597,0.8651870934499881,0.8589196878653793,0.8811580466240593,0.8993440935906867,0.9045759101611945,0.8779120228724882,0.8912034010792157,0.8881182335722924,0.8626959276742769,0.8323679383217562,0.8460747280710823,0.8395642623495831,0.8618013097780435,0.8552036934776686,0.8601882172161771,0.8547439122029041,0.8596289264149337,0.8435793893872359,0.8422252393980254,0.8026825225760369
Ireland,,,,,,,,,,,,,,,,0.6968884692861521,0.7030916047609788,0.6630316055993015,0.7060900117176904,0.6445867949429531,0.7508674519420768,0.7189708092851643,0.7280305975682193,0.7019476501751294,0.6619554913458704,0.6965123199429448,0.7209922741561687,0.7626677855062497,0.6886746126152515,0.6721160554883514,0.5507979366198386,0.4216925417852575,0.2898285662573191,0.33951164381778676,0.359656638486813,0.44848793170564805,0.44786209028159185,0.5201701608099347,0.5304088698452185,0.602891219298458,0.6428083150512164,0.6849805876548726,0.6917658943761
Pakistan,,,,,,,,,,,,,,,0.8983341863003933,0.8647296351559658,0.853327336071027,0.8146816979476885,0.8411068196520133,0.7794911161479727,0.9020863823159709,0.8963674100201997,0.9025711978399529,0.9168878666179683,0.9111648390274527,0.9165612548346118,0.922340329290533,0.9191717906912609,0.8852833749437358,0.8933795868593611,0.8883296522582511,0.8629436418948796,0.832549849756363,0.8539661894591526,0.8402468722445269,0.8736922569204533,0.8554188319304201,0.8693047070677589,0.8481299535412201,0.8220928467087245,0.8518298540036822,0.8646321152000516,0.8101803034279391
Colombia,,,,,,,,,,,,,,,,,0.8724016435770454,0.8394921171260422,0.847598855836065,0.8065395741197766,0.8823320293435084,0.8720022083928616,0.8619666392744522,0.8778147278467483,0.8831009108862846,0.8998316295514535,0.9123244804337887,0.9177491576074749,0.9038411719778937,0.9084646928954225,0.8937731508842355,0.8694243693513337,0.848907254349947,0.8454707442019505,0.8165983118642088,0.8214217683568673,0.8166057973524874,0.8319967416724793,0.8216359882568007,0.8288800815537651,0.8165636190756174,0.8293224838588813,0.7950874220393522
Chile,,,,,,,,,,,,0.7965316057570023,0.8627744614683788,0.8390944166431572,0.8628978432344137,0.8498260960647401,0.8392452668326935,0.8224356182510022,0.8176853722924963,0.7861340581690529,0.8069459439166995,0.78027308068422,0.7804363354508975,0.7951801219414727,0.8074890511021229,0.8519854358088852,0.8919979062664174,0.9126481502502202,0.9013049718112409,0.9103078448195522,0.8868667863745441,0.8566594245006602,0.8195470630780779,0.8022709818453994,0.7861753588357323,0.7819668609827927,0.7674650608467045,0.7720929335642226,0.7607017203837142,0.7561521240369473,0.75440689830141,0.7676481369484047,0.7383162328191455
Finland,0.7259769950755451,0.7197853198160394,0.8182208318950799,0.8148208104954813,0.7533561382243854,0.650689714418944,0.6425400182683323,0.6422520656425068,0.7026864934675875,0.7252741233760267,0.7212553746142927,0.6909079314103475,0.6755699914025851,0.6686320381406917,0.7089251696585723,0.6982921971697744,0.6918914320268101,0.659953041247088,0.7133903293746449,0.6787736975039158,0.7552516107789414,0.742418233192554,0.7417338263098859,0.7223416460447637,0.7081398753187943,0.74974905527501,0.7930990937316659,0.8239095274091346,0.81148817263259,0.8089578474153598,0.7533302279005594,0.7051950496199395,0.6298428292564262,0.6275964236405078,0.6036986360274491,0.6305589077168408,0.6232824826973882,0.6300575055648068,0.62955413679825,0.6481214485905429,0.6481353943969006,0.6625751842132803,0.6203355780377827
Romania,,,,,,,,,,,,,,,,,,,,,0.9510041858410854,0.948810690950042,0.9464573498293396,0.9495534751859869,0.9457858198363113,0.9494438936030558,0.9529199346903927,0.9500530476968746,0.9425928869784652,0.9319661758741047,0.9111400255158326,0.8875693675775812,0.8614743760248007,0.8699900414345634,0.8628078915097075,0.8909226243625195,0.8848401422310758,0.9009209136889216,0.8975547910755299,0.899230413184215,0.8936395512086207,0.8933892694579215,0.8601682684117309
Czech Republic,,,,,,,,,,,,,,,,0.8624361148960148,0.8635804768510982,0.8421399945238134,0.8602383622002863,0.8460704387724525,0.8802657456033978,0.8740515855924862,0.8686147704517874,0.8764183148529688,0.8571092594270119,0.8786471491968815,0.8944927995857221,0.901128532482373,0.8847411984823195,0.8852932188761671,0.8587928834766764,0.8223398463842916,0.7734569321724434,0.7800714259496412,0.7821044618500321,0.8183315912762246,0.8115769445917362,0.8222586215629306,0.8191714883919731,0.8382659142625669,0.8338383882504351,0.8368367042064535,0.8091174308297755
Portugal,,,,,,,,,,,0.7248282046873056,0.6810782311453911,0.7928012074369655,0.7458066883338337,0.7679490953513317,0.7230596323769201,0.694638495813122,0.6572009185172383,0.6757365971125044,0.6121269415215114,0.7081854158714032,0.6571993457195722,0.6466032472184604,0.6227809349690525,0.5914837931955783,0.6427087346188309,0.7007918673353646,0.7263598568098132,0.6877081953664749,0.6933505619262028,0.6191304244055786,0.5136700072842597,0.3717786932098591,0.4163466742352875,0.4043632061418805,0.5065246554695026,0.49215054720283774,0.5417293540569591,0.5504116666868464,0.5790102003893067,0.5793816078155605,0.6131252540169605,0.5724403231984299
New Zealand,,,,,,0.5332580156539624,0.4657393140871529,0.5020604323495548,0.6215470522045294,0.6615940819504673,0.6916432832294815,0.6564728023381654,0.7518453881333342,0.7218490579861827,0.7566304038349796,0.7142537057621022,0.7217081368808314,0.6840873093190103,0.6947318144727996,0.668169511094904,0.7267410778782686,0.7066517986887279,0.7041173312371622,0.6890921871076785,0.6658864361211758,0.7078638134703451,0.762320143012005,0.8060409785561649,0.8023668268141203,0.8155191272692365,0.7680277627441818,0.7309914826549786,0.6763967863238142,0.6852653312178392,0.6902833997489528,0.7125430717894542,0.6963427180104331,0.7088124690091425,0.7168491498550067,0.7289086676668192,0.7173010667433546,0.723227022487964,0.6946198884481644
Peru,,,,,,,,,,,,,,,,,,,,,0.8991191850872546,0.900086068395825,0.9035077108908743,0.9156903334975459,0.9165701211453725,0.9273724564220989,0.9385293713265398,0.9348772630803245,0.9232923726544084,0.9319595237932606,0.931367818379478,0.9151296449015109,0.9037054436928458,0.9064859922610025,0.8951085124577645,0.8947822980937431,0.8861248143578926,0.8825578715994316,0.8757180176383412,0.8791235774657349,0.8607369892760731,0.8731743392059921,0.8576738607890257
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,0.6826515758043595,0.7671549319420465,0.8412064759370148,0.8403762268266085,0.8571428571428572,0.8514570681247841,0.9086942697438478,0.9087610586816763,0.9055085658341889,0.9241642911018173,0.9256154788976034,0.9012288810401199,0.8696598570187939,0.8951259551544095,0.9088536169246273,0.9127860422191665,0.8781123300246143,0.910094987402372,
Greece,0.8148192243734826,0.8100922720298227,0.8737081905423617,0.8661690468651121,0.823969437757494,0.727326052308357,0.7115243328577151,0.693096943504949,0.7316293183788684,0.7545547510780688,0.7669302339358514,0.7278186307180938,0.8544598065348863,0.7654592409075185,0.81448137747301,0.733197625870561,0.7073430492013004,0.6333429290884693,0.6915974775937306,0.6058862236258533,0.7944929647052285,0.7693315330289643,0.7660632726329959,0.7791009746731415,0.7568797659732778,0.7518853643618721,0.773075010817242,0.7655283077949824,0.6945705183472078,0.696779871330307,0.6272597439557402,0.48396647821519934,0.4075327003594646,0.42920736641593976,0.38110251583846855,0.5036863950841081,0.4652571264264963,0.5221636918163516,0.4867184405043034,0.5121533957114135,0.5318855686206083,0.5664817971081126,0.49737932440601296
Algeria,,,,,,,,,,,,,,,,0.7877589234192255,0.7800530824610019,0.7506915822189844,0.7943604645332782,0.7677184984635557,0.927970099445366,0.9265311642314162,0.9218709638797473,0.9430879289884067,0.943914168691073,0.9549458861019772,0.9614228023273999,0.9719635984994286,0.9765745677104316,0.9747436116105338,0.9722883961881369,0.9673456113369391,0.96224336968435,0.9653099484667043,0.9615440348894173,0.9604671729783865,0.9363552432204023,0.9283106182511015,0.9046167644218004,0.8924581351660825,0.8977867031718201,0.8912980765877556,0.8744674271865887
