Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,0.5899946917267977,0.49387470732742494,0.35262152003725816,0.317449505613664,0.34397997059790875,0.5271615094920848,0.22258448738573214,0.1316737010420012,0.2996290974917606,0.47108892409092284,0.3050311201346709,0.36245071716084615,0.24227406012090846,0.26127082342461705,0.372037748311587,0.5153778844010625,0.5066579021653921,0.6424102538086229,0.563395214627938,0.46043838379949736,0.5923616446843736,0.36029295455559035,0.62668761674786,0.5495400954311288,0.49695286133361544,0.46634165421449914,0.44589845577454307,0.3659208648090128,0.6748708399840839,0.4861503517226228,0.5633647611908148,0.3791606903973627,0.5335134891951521,0.6847367745583083,0.31697367763990403,0.24583059791298356,0.11312509019151026,0.4687625731515172,0.658429252148543,0.25367369158745934,0.14266238930134897,0.34532459905313756,0.730832520285134,0.1631155230818285,0.39804917362392606,0.233588448273561,0.5065461510899097,0.47207482582973204,0.41459270047617985,0.34147211591538085,0.7212663899463598,0.3639428690108767,0.7542763731283835,0.6575035805022754,0.5880076010433458,0.4077575070670024,0.20085477842605629,0.7956595558570952,0.5830210045176168,0.5336956734313484,0.4600069692139513,0.3395576788085274,0.3085765348946259,0.4170481208701057
China,0.0,0.2701614158871514,0.4773597968915751,0.5326165711482191,0.5361746857539277,0.6816717250131158,0.12168494642962292,0.03142302095816456,0.7291718069166013,0.6638015579982391,0.3836075827758271,0.3352045298091788,0.2648466157211671,0.3072052225105137,0.599519553165656,0.40385943974740435,0.5839881490799459,0.7681538691658862,0.6474981707241221,0.6349870663540956,0.6535659831362249,0.6338556820931301,0.8164995181465095,0.7322025997021115,0.761444240278686,0.6048814481348335,0.6228146491648293,0.5127661219982161,0.6826856694378683,0.5050358794613152,0.646805070326216,0.4635486736998493,0.7004236382918756,0.7988280918607217,0.49221110909965654,0.32031940138140497,0.14262455654941295,0.5286034176848872,0.7066744982601608,0.31598921951723735,0.24370501592854424,0.5289031515506449,0.866479185236198,0.2692704136839411,0.5941588502260914,0.4728408021073914,0.7620328255057939,0.7257757189153194,0.7071909698749607,0.5736704757660982,0.8310056738570043,0.4058291693741786,0.8651540664554467,0.7844974839774638,0.6646579640831624,0.5149108260314553,0.24997591389309695,0.9289695894319152,0.6502008797672051,0.5797023890200871,0.5031859268092302,0.3463096803313177,0.3327052966816814,0.448086107227202
Germany,0.6298685075684763,0.46559395626930167,0.3174262220460679,0.3320396733970223,0.3229235193716427,0.38985893932757704,0.18805346198865203,0.141459666233762,0.4336471290305622,0.5204353685637686,0.3016934270671657,0.34444694601270126,0.23300520334493063,0.2843241340536806,0.3551881931454881,0.5083455014033863,0.473136335434997,0.5875439718314605,0.5821031384634681,0.49637113589714926,0.5446243032073148,0.39575724239200905,0.5336480614303923,0.4487183014971616,0.44438398045192895,0.43658730245161176,0.4014728753055395,0.35613036398255227,0.6781529707134314,0.5171019453276581,0.6093280018807556,0.36734568490070035,0.47789068687889563,0.6666691619110229,0.29221660430771584,0.21299081325419086,0.09732381214990883,0.4272019393304852,0.6149245160371976,0.23707413426016596,0.15200981507458555,0.29838425034730764,0.6692312823950677,0.11774392667159012,0.3341588265985129,0.25976657356159777,0.5251670583030005,0.49263059066591486,0.34209641093127846,0.3837747937490212,0.7517491156740408,0.3502071315931257,0.7205710676343916,0.6486662606400481,0.5636332145770815,0.41646560002429556,0.20462485039211797,0.7312660200152523,0.5520577421747563,0.513580734673329,0.4231799448358492,0.33192283656511407,0.27270539727334914,0.3703160808596729
Japan,0.7844023602630832,0.5476764705924593,0.4387467965899005,0.41958795943054417,0.33340849381889814,0.6812458561661086,0.3272923737892775,0.2227156031604267,0.590684460179937,0.4729313265970323,0.3343625640319976,0.4219765402829086,0.2677569024195279,0.2502375825428462,0.4560713462258986,0.49273052154840213,0.5005191677960471,0.6366935906201073,0.6074495284654776,0.5267629364243126,0.6333122957319025,0.48830019072826,0.597225446891578,0.4849929115827221,0.5252186533587714,0.46207317999754854,0.47174742258265223,0.4177062377052443,0.693212582072102,0.5132977926862057,0.5953634092382282,0.3586303520902518,0.485563452441405,0.6475758336450714,0.31585212713336996,0.23815886722391283,0.09200293664584376,0.36860948549391265,0.5746162151616354,0.23552793263456331,0.13484175397690862,0.30496076159076185,0.707482852543733,0.13504373147006374,0.35674405759059374,0.19942615969033414,0.4956105927454843,0.43655818633130544,0.3384647786730197,0.3826956636477475,0.6998575552487813,0.35706325005055817,0.752068376718839,0.6002154425049123,0.5616875250477638,0.38471819567499554,0.19218764155797793,0.7139505814792092,0.5254550552447796,0.5132042585558152,0.4023474220933106,0.32250564643769897,0.29509077584844573,0.3788438997051755
India,0.6183819268339643,0.4331796007312109,0.3863294655806598,0.3461781346533438,0.17937075145957038,0.28309759105344146,0.2875648047612967,0.11576796389443131,0.40638474681142994,0.5209815450026508,0.2706203755953326,0.25296090210694644,0.21718368574718633,0.289082141032796,0.610476458201393,0.4556773373735988,0.5757129366735318,0.646260787853192,0.4036750161242942,0.6112924926854025,0.6748014351641404,0.49323613477095385,0.7102643853141294,0.47151174396854373,0.5279158702294805,0.4996046410147127,0.45695304277851384,0.4795269132177057,0.7081598823021815,0.5196600693779382,0.5736308486173333,0.3945072771995278,0.5633642260715941,0.7179144958912432,0.41961893356950847,0.2911806189860427,0.11070379032785642,0.49837754886612595,0.7248161370782934,0.2504037824877024,0.19579148771099686,0.3965197988433312,0.8246545419737221,0.23196080768744898,0.5072325684786714,0.3612248770479469,0.6255369247614283,0.5510020844343789,0.6695558520933977,0.5119938720692876,0.7723623788634341,0.38777328864782307,0.8378774141038067,0.7831686042593158,0.683994758985226,0.546925339583916,0.2489136096188932,0.918317110299605,0.6078444204876848,0.4967664626524388,0.5224060230177577,0.39490366124203397,0.36875504554335103,0.46964730536081206
United Kingdom,0.5980019032091479,0.39808205991881707,0.3623372611880578,0.31388327704313945,0.26619727745430927,0.34351586756105024,0.2259486722745637,0.139250997145828,0.26360020178490406,0.49625400143229786,0.2781626435396047,0.33174331790833517,0.2600800251610282,0.2429143437863479,0.3600272618209361,0.47397333087618976,0.4473089404910672,0.5961186076983248,0.5554280675152616,0.4189672628512584,0.5005891323575214,0.4584142730258035,0.5970446388866404,0.445245500870769,0.48067690441977495,0.48025724846925455,0.4698690701126444,0.3837433364648853,0.6545209683649738,0.47598303203766884,0.5529314185216753,0.3617166037182037,0.544544356988929,0.696398464512493,0.334793851735077,0.23192741969393754,0.11576304336230286,0.4472327265395224,0.6282578915853759,0.2598487226585557,0.16237736643267872,0.345533418078097,0.7386666851819271,0.13740723109681088,0.38100983010526374,0.2192016124531258,0.5260461689837039,0.46774768871877853,0.36547521417538886,0.3286986022954316,0.7113586498317513,0.35821824705885225,0.7464542571535526,0.6738688546202575,0.5727060556440714,0.41612611629387397,0.20712116086532079,0.7458848037344882,0.5574280863625029,0.45314063680293043,0.5027228399400665,0.3681952767338327,0.2836017044083143,0.3933673379356955
France,0.6427974300808585,0.5083598488548844,0.38863364786606347,0.3310548572954255,0.3155378874408685,0.477403365139927,0.25066763344098697,0.12879029111109835,0.42357721488614913,0.5315136660500592,0.3467614665715506,0.34847621545265134,0.24813418134734952,0.34112104760808004,0.35317806428556825,0.4985415751890395,0.4785686333243517,0.6079744626747201,0.5734549226597269,0.5021438486856027,0.5602892598470396,0.46721487908335424,0.524059416772713,0.42099773577055366,0.42272260165244824,0.4391745085895822,0.4263773234979033,0.37920230877127753,0.685594995612959,0.4948198317397506,0.5752153401120302,0.3634497035073021,0.4870600643197421,0.6639795861676143,0.3090048540459373,0.21730402558951264,0.10142367221504474,0.45082352519402774,0.635700231812236,0.25455012195811566,0.15562633225939285,0.329926157835676,0.6969739810529104,0.14656762498512244,0.3588260974892913,0.23188358333771453,0.5176233698929777,0.4791518439212454,0.4085339166196869,0.3210512139992417,0.7334003492387152,0.34810285691210885,0.7281072265762598,0.6182593782177901,0.5523016313090892,0.38701438358050055,0.19671108312908925,0.7492113097490265,0.5722947699490198,0.4797773784817562,0.4742100874393869,0.3417770313857121,0.2947487929563723,0.39427737190062895
Brazil,0.7156952854836564,0.5034514749484846,0.2722816128617206,0.27573698884946257,0.2711099364422666,0.5346077849417175,0.24332562638710514,0.1879943079162499,0.4982615643343463,0.5739253815585643,0.4729391639447204,0.4884530168416152,0.3311311430414358,0.40137574862559044,0.5089574686778755,0.5934163039288466,0.5147993964394698,0.6301348650487638,0.63169059118669,0.6644532044456327,0.43103072641335105,0.42660437747096847,0.39454169811039,0.5075882932359255,0.6020091100068583,0.5682981141440923,0.4475298353037302,0.27761331741321277,0.6673758436638504,0.4288601317552818,0.5734137292635645,0.3473182523720904,0.5659612774579443,0.7077456637673014,0.3492858094522278,0.2270516747352949,0.10671219136659432,0.3966081093562279,0.5877365382188172,0.25796314300669465,0.148627875127189,0.3782539678934119,0.7001787391141805,0.19541985185469804,0.39112868161897246,0.2620721289355378,0.5920723394993177,0.6042951756519079,0.4744520513918519,0.4835061767008584,0.7547570612451349,0.3611745255635905,0.7716495460732036,0.6055582092604855,0.46464205632810723,0.29759322941354477,0.18828264429644326,0.7540565595855885,0.5567432859960665,0.5223173549943388,0.4378177577715787,0.3450338587270022,0.3119572261910496,0.42594755303038423
Italy,0.7078588693202009,0.4958599800251212,0.37819768674150334,0.2652689247746897,0.2869231659668197,0.5079796889299487,0.2796666941397172,0.1513245764176625,0.3926778557207203,0.5225293611214256,0.2742741636912143,0.3329518128769477,0.25807654014159326,0.3586118647712221,0.32400753401744875,0.543222919940911,0.4524843017534806,0.592574064571277,0.6164790797696804,0.5399750298860087,0.552110954997645,0.4161171459781345,0.5211905957725045,0.4579222237622548,0.4578042398473741,0.45108409739179295,0.4402130236113338,0.3662834100451216,0.6707175208759066,0.4870673065586328,0.5778743689275094,0.3581111201243665,0.4796860396955168,0.661044733914987,0.321222298247241,0.21668568862090284,0.09775893654833295,0.42213221283957947,0.6075356934178131,0.2509719206559502,0.15709541026321558,0.3105089760960126,0.6802784158099707,0.12301371200589194,0.33113223528593744,0.20975886023714813,0.49515462219701467,0.4418981341737293,0.3479438944236434,0.3072029434159805,0.7091911567269914,0.3232055418003366,0.6771863328081478,0.5925621623184751,0.5488601230400274,0.39514778975515824,0.19139402004895129,0.7203960826851409,0.5414820103868278,0.4651926841381694,0.5093833065322374,0.36462794364290213,0.2903234289671946,0.3872041493215632
Canada,0.6072194976360203,0.5193074870792066,0.37159526671913934,0.3323269696322048,0.3424715618297568,0.536830130313019,0.22948300007379924,0.13401972513694566,0.36067854914489,0.49837600356607636,0.3201763138544861,0.36743000723596286,0.2538357952566851,0.32408931776020256,0.41666498976020067,0.5234114356628484,0.47806122753039987,0.6033409006550103,0.574022953688075,0.5129475027442357,0.6132149380426659,0.3259628964472125,0.5642302424547471,0.5189775762812638,0.5131692045332319,0.43238842251980075,0.45926168479545,0.37079492431573396,0.6553386415802301,0.4706883589615639,0.5458948180889415,0.35855111039402776,0.5321084606094729,0.6906033527318377,0.31692954483629826,0.22080884509278165,0.11210758282276655,0.45848788609537183,0.6641982146640929,0.2683368379591681,0.1552916490302879,0.37693470190536593,0.7125077793585353,0.1503537650486492,0.39133334028889294,0.23004214592121433,0.5075147088809125,0.4954845016758609,0.4063225594087309,0.353098485333261,0.7431225545872017,0.3599292009089888,0.7583500627643921,0.6664955426839783,0.54438077659962,0.3908740672740757,0.2072387410171966,0.7877971108203832,0.5700003304776691,0.504321408444418,0.45821244888287277,0.3577638071965124,0.295603567819966,0.3994541778206514
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4412627092850188,0.5198505189027391,0.23779589803579285,0.3629738182464696,0.47533361329186613,0.17365080336681168,0.15543863679227427,0.09455453209760957,0.2984639156909386,0.6847967805650825,0.33552667843274797,0.19958324636130245,0.41832685268571873,0.8142729181650182,0.219746733714638,0.4697682510001234,0.36459554775395236,0.6431882208982451,0.6071031562011878,0.28700611561752476,0.39451212501177074,0.7592818304055847,0.3769967213244696,0.7471780318645553,0.6115326242268065,0.4945373063715175,0.3726077754887018,0.19385459610684788,0.7900580472379433,0.575584271850737,0.5286832437469787,0.4567696848906945,0.2966852771344977,0.31998525669499495,0.4390919287229224
South Korea,0.6821828557066327,0.45215366740260715,0.4500824645688134,0.380482569462284,0.3606242092527921,0.7322316782701246,0.3037363339210139,0.2265501142418457,0.6562575997709859,0.5715728635478969,0.458515674254434,0.4016814318128269,0.34187090555361055,0.42546602864832295,0.5794238389624023,0.6415953924521437,0.7101839324785608,0.762583616099747,0.6692699753795458,0.4330943523054677,0.708020184760981,0.6189712108260815,0.9011370427304219,0.6272129274114917,0.6045437413757434,0.6698910382757516,0.6501734459453379,0.5317449273468577,0.7259767277665617,0.5609232662458465,0.660138509254789,0.40131333839311323,0.5968729662750831,0.7521394408270382,0.46498802971725106,0.2964748985136761,0.12430848488020224,0.3047485571710218,0.7701641170042547,0.3244948586373169,0.19444513182230755,0.49241122388346464,0.7360030681382196,0.18568344838242776,0.4195590461238391,0.29310959932653424,0.5872784446545322,0.5488174353846359,0.4975506311303859,0.46744364173579706,0.750777242603863,0.3658882028129075,0.7772625437241921,0.6752706171827738,0.58752758419524,0.4369900307941736,0.2116632869987673,0.8030320170673754,0.5778153206916072,0.5486401028889929,0.43524874698164046,0.3418943247694945,0.29612169164933166,0.40583150060749085
Australia,0.5936032443962349,0.401878970757932,0.3909812114921685,0.3379159586716021,0.33628317108479616,0.3738067138924684,0.2690312117417865,0.13499807904176767,0.42214816143411615,0.541354859463758,0.31980382759984466,0.3370324735444616,0.20995627457144483,0.3361562114384813,0.41139688254229634,0.47049806983342024,0.4795719460215358,0.5416584561837615,0.5802252215835951,0.5314431537211342,0.6114883030367145,0.489531900378519,0.4162979186157858,0.48850170465188225,0.5286979615198661,0.4791796259766303,0.42646437510102037,0.3989428087249056,0.6778964168337175,0.5016490229338354,0.560930118909672,0.35496953083098437,0.5528373330084884,0.6841037452691787,0.34228289301485404,0.24694613712108934,0.10990018235175983,0.47213405313155127,0.6623528328593626,0.25144125367459286,0.15743911124437684,0.4000689780690922,0.7363097117588393,0.16938601511310947,0.3899814665428393,0.23325912487859984,0.5441054730425521,0.5652654573301759,0.5252732744450088,0.3272145973663487,0.7328050031455872,0.3764578951660738,0.7647869943273927,0.65949332415674,0.5731610703563097,0.42799836046572404,0.19903433643119295,0.7924119445191111,0.5755060260272324,0.5544298486410181,0.3905076872046507,0.3584588563257,0.3152239834774611,0.39687680316289164
Spain,0.7803148520353164,0.5676816698369374,0.46248631929801776,0.30890730785488546,0.3413044543661086,0.5549383623252386,0.24503784910227855,0.15191555398479092,0.4798575076068767,0.5117691463307403,0.3333297278885841,0.41700416227116394,0.2651505126854759,0.3605237294107803,0.39109704450667343,0.4819731201256932,0.45978398150477906,0.5539844635701815,0.504015597843751,0.5136276881433859,0.5288967190331335,0.4370928048936981,0.5397563713574314,0.4250003584000495,0.4441984566902927,0.4610421605884485,0.4911901546411869,0.38504017945582963,0.6917676105196127,0.5035637713247891,0.5867519183002782,0.35885452887658825,0.47701772336954107,0.6639737138437161,0.3185073186321547,0.2318373032339956,0.10788505796517701,0.46560911234051183,0.6522188191980366,0.269195133712908,0.18336387512123675,0.3710011699759771,0.7334941760315729,0.15072826210806997,0.3997134203989354,0.26404240063832823,0.5387212715075952,0.4894253931211837,0.38548644063160425,0.2650313893895192,0.6906340618842246,0.32516271053451956,0.6848388753059714,0.631700581470732,0.6092038646012237,0.43144715746167894,0.2057121095744397,0.7755729437763396,0.571017213096243,0.4440258217360975,0.4707902611417332,0.38144938224641806,0.30450272208549234,0.42645821664821754
Mexico,0.6438663747798803,0.46637817316467056,0.4309928231095018,0.42356407594546486,0.3567322265290914,0.5121252195102275,0.26351681871158406,0.1837508748013217,0.3095178914375309,0.534566523951391,0.3148288901227117,0.41849438719576676,0.265926174823318,0.3630704465874841,0.5236844209878966,0.4998219581039627,0.47427619207682375,0.7167114821676248,0.6875385004263407,0.6548880419806421,0.7598827000474296,0.4044523387241521,0.34219995844915146,0.4644912453433407,0.4327172483490229,0.2791898551786218,0.4157847021222807,0.3042549467146291,0.6741862279311166,0.5170563517472085,0.5993508076675614,0.37952179520292967,0.5352338222524061,0.6893427865773278,0.13656523737105633,0.27519568671021183,0.12989500903559492,0.4983890918993904,0.6251584262879737,0.2668268519813413,0.1233470771466797,0.29818146100760723,0.7010070745768772,0.15834586667868758,0.36435135079381953,0.2824657495859739,0.5081028163265482,0.4941020800621072,0.3237602647345245,0.40836379157853947,0.7473866892860236,0.3734538773092395,0.7294850485052553,0.6569877871270949,0.5833851416053287,0.40674224769096456,0.19436355662307023,0.7606835366902304,0.5256377917222964,0.4704458255065916,0.4598941822363289,0.3525595240065317,0.31302543578469016,0.3976443846463967
Indonesia,0.6586440921738521,0.41231852718797535,0.2123008955704823,0.277991170621787,0.24709178128607726,0.3890832440452174,0.2089246514887666,0.2005558146994629,0.4151555480464102,0.5451916095860871,0.3828566498484217,0.39604220012689006,0.2685189103599764,0.3930081845096472,0.5041316663080185,0.5393952799106944,0.6152615147983527,0.6691595313923305,0.6424235809464569,0.679124789936152,0.7204588869520059,0.46227699961277696,0.6146127390428039,0.5435795356256475,0.44821490447413065,0.527413837651451,0.47774447392974384,0.399341483830871,0.7302429347641898,0.5353577964303188,0.6252205918651463,0.40245589218437855,0.5894317152255737,0.7290294119661149,0.4331686844914378,0.2944066617516418,0.11466542457246132,0.1622199784426544,0.5930246158631917,0.2653174041799835,0.17957846982272743,0.41344672594589316,0.7675991038452634,0.1831026923746297,0.4523723569157037,0.29930119797771726,0.5978599927196541,0.6287053851441914,0.5905876928857596,0.4451730655424366,0.7852647886468564,0.3920895024406076,0.821643199490801,0.7213556458932594,0.6247013622744605,0.47723744382966626,0.2297954061255031,0.8733122085557278,0.6299734353545043,0.5346919502317017,0.41962413343345273,0.36990542807662186,0.3292127047469683,0.44883902685956434
